"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"PA-APEX-470512-01","2080.00","73.92","2006.08","46","31","15","67.39","32.61","0","0.00","0","",""
"MNQH6","1665.00","69.36","1595.64","43","28","15","65.12","34.88","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20260220","2623626589","B","2026-02-20 09:46:24","24948.00","2623685550","S","2026-02-20 10:01:44","25071.25","919.869403","1","246.50","1.02","245.48",""
"20260220","2623626589","B","2026-02-20 09:46:24","24948.00","2623685550","S","2026-02-20 10:01:44","25071.25","919.867309","1","246.50","1.02","245.48",""
"20260220","2623665576","B","2026-02-20 09:46:24","24948.00","2623685550","S","2026-02-20 10:01:44","25071.25","919.867022","1","246.50","1.02","245.48",""
"20260218","2618481027","B","2026-02-18 10:00:17","24949.00","2618491474","S","2026-02-18 10:05:48","25029.50","330.592958","1","161.00","1.02","159.98",""
"20260218","2618481027","B","2026-02-18 10:00:17","24949.00","2618491474","S","2026-02-18 10:05:48","25029.50","330.592691","2","322.00","2.04","319.96",""
"20260217","2616571103","S","2026-02-17 10:24:25","24535.25","2616636893","B","2026-02-17 10:33:48","24459.75","563.471308","3","453.00","3.06","449.94",""
"20260217","2616282596","S","2026-02-17 09:51:22","24566.00","2616289358","B","2026-02-17 10:18:48","24611.25","1646.558391","2","-181.00","2.04","-183.04",""
"20260217","2616282596","S","2026-02-17 09:51:22","24566.00","2616289358","B","2026-02-17 10:18:48","24611.00","1646.558386","1","-90.00","1.02","-91.02",""
"20260217","2615134356","S","2026-02-16 09:39:39","24733.75","2615141970","B","2026-02-16 09:46:16","24697.25","397.384029","1","73.00","1.02","71.98",""
"20260217","2615134356","S","2026-02-16 09:39:39","24733.75","2615141970","B","2026-02-16 09:46:16","24697.25","397.245925","2","146.00","2.04","143.96",""
"20260217","2615136368","S","2026-02-16 09:39:39","24733.75","2615141970","B","2026-02-16 09:46:16","24697.25","397.187884","1","73.00","1.02","71.98",""
"20260217","2615136368","S","2026-02-16 09:39:39","24733.75","2615141970","B","2026-02-16 09:46:16","24697.25","397.187869","1","73.00","1.02","71.98",""
"20260217","2615141651","S","2026-02-16 09:39:39","24733.75","2615141970","B","2026-02-16 09:46:16","24697.25","397.187839","1","73.00","1.02","71.98",""
"20260213","2613464311","S","2026-02-13 09:41:41","24616.00","2613495354","B","2026-02-13 09:44:28","24717.25","167.059286","3","-607.50","3.06","-610.56",""
"20260212","2611274208","S","2026-02-12 09:59:22","25191.75","2611302912","B","2026-02-12 10:42:07","25088.75","2565.480496","3","618.00","3.06","614.94",""
"20260211","2609243485","S","2026-02-11 10:05:13","25268.00","2609330556","B","2026-02-11 10:11:53","25214.00","399.601949","2","216.00","2.04","213.96",""
